Channel,Avg. Viewers,Time Streamed,All-Time Peak Viewers,Hours Watched,Followers Gained,Total Followers,Total Views
Tfue,11480,211.8,316214,2431169,5677,10208229,272837874
한동숙,10887,234.5,42898,2552743,-1545,413551,101998359
Perxitaa,16253,114.2,77009,1855580,132402,1747342,28393729
OfflineTV,28342,13.6,46825,384824,76159,279820,1575046
Spursito,17739,88.9,39767,1577595,233119,570327,4611539
CohhCarnage,10402,249.1,68777,2591026,-7383,1349065,194406791
AdmiralBahroo,11429,222.2,52399,2539163,62810,883234,72725200
Indiefoxx,10585,159.7,25357,1690633,170299,728231,27541896
Pestily,15062,124.4,226470,1873005,8410,880203,46040870
Doublelift,16693,99.2,64735,1656267,11557,1533888,86111706
NASA,26937,10.5,392939,282030,70214,997085,12086487
Jahrein,16910,87.0,86218,1471204,7529,1575815,83960265
Gorgc,12755,162.0,55738,2066555,314,450342,59515045
Werlyb,11842,170.6,76653,2020218,56787,503515,20732895
ZanoXVII,13570,147.3,158760,1998905,46727,1100274,20222806
RiceGum,18684,66.6,31060,1243388,-57074,1083495,12269646
coscu,13906,123.7,425659,1719528,63706,2675275,63837405
Robleis,22721,26.8,65277,608821,296533,1248025,2658860
Ninja,11731,158.8,616693,1862821,-288334,16618958,535302828
IamCristinini,9899,199.1,58228,1970847,195583,2012610,57332764
PENTA,10117,222.2,22781,2247885,16818,236006,10883048
DrLupo,9749,231.8,167580,2260003,-15127,4420286,160997372
sapnapalt,24289,14.4,64506,348936,85124,563532,1792925
nerdstgamers,12300,147.5,58936,1814399,28755,246021,11512328
TenZ,18756,50.6,38405,949537,111301,1142792,22650844
Rekkles,19859,42.9,63972,851333,42976,937570,31400048
LITkillah,22066,25.6,61647,564700,186802,1354964,7896252
EsfandTV,7047,354.0,47830,2494236,24174,773756,54622343
DisguisedToast,24279,11.6,53075,282159,107453,1907607,73725939
Stray228,11763,156.7,44560,1843675,-5683,917514,98940584
Ramee,8097,281.8,40969,2281256,77901,277697,17781824
