Channel,Avg. Viewers,Time Streamed,All-Time Peak Viewers,Hours Watched,Followers Gained,Total Followers,Total Views
JustGaBBo,5351,177.3,15282,948877,8997,645090,11092641
Adal,5524,157.8,15642,871633,70245,546113,12181735
robyn538838,12273,9.8,56169,120515,65,66,103584
ElMariana,8256,75.6,16269,623874,208674,357377,1254547
DannyGoonzalez,11130,22.2,60925,246908,76721,288036,806837
WankilStudio,10956,25.4,28866,278152,9152,870091,21429566
AnthonyZ,3889,302.4,24151,1175796,13754,290183,13796401
Bugha,5962,127.7,82288,761445,72968,4257591,86615174
svt_slow,2833,288.0,32566,815857,26458,26470,7152464
Otzdarva,6773,121.6,25363,823460,15614,445662,10664573
kijihen281,12320,7.1,42662,87941,92,93,226666
살인마협회장,5279,186.3,16252,983367,-440,214448,25175663
dogdog,6484,129.3,31142,838640,-747,619648,64097393
getFlakked,4610,220.7,10434,1017143,52467,98260,3125661
DeuceAce,5950,152.2,23065,905222,10825,125868,6088866
中信兄弟官方頻道,7844,74.6,57079,584702,3899,76988,12449826
Jasper7se,5147,190.1,17188,978218,14171,87598,7409992
PRINCE__OFF,6851,111.3,33211,762752,127688,482839,3710976
Jolavanille,4163,256.6,13277,1068456,12543,134530,4812602
k1ng,8438,55.5,59139,468119,41864,1471807,20791347
Bonjwa,3145,391.4,11814,1231072,4138,165793,70770413
老皮,5883,140.4,20032,825972,-2766,463211,117171476
超負荷,6853,105.3,18774,721676,1727,168293,21650499
ESL_CSGOb,7371,83.9,119288,618262,11214,694113,46124650
peterparkTV,8622,57.5,39539,495485,21879,461407,9640868
PGL_Dota2,9449,41.4,161982,390977,7132,176000,37294206
MckyTV,5666,151.3,76882,856950,33773,955490,33265549
B1ackSai1s,1876,672.0,4593,1260982,-17053,36500,12931941
DiazBiffle,6589,116.7,46932,769059,32973,203841,2835983
VonDice,4461,233.7,21903,1042523,21028,86593,2139077
karchez,4969,184.1,20724,914822,48663,286459,5435396
FENGRUSH,5596,116.9,16128,654077,774,107807,105666633
k3soju,6683,111.3,12505,743815,5722,169572,8056068
unsympathisch_tv,9431,37.2,37982,350480,24980,779231,8462480
39daph,5763,142.6,44646,821926,3804,806438,19796767
noob_v9,11360,9.2,52667,104371,74,75,187257
らっだぁ,8918,50.1,19237,446550,10896,185204,4160374
Staryuuki,5348,141.7,33699,757803,94339,1685103,20466303
BoomerNA,6590,109.4,16828,721161,158377,287324,1433574
Toqtir,8357,55.3,18112,462285,11249,193425,11305999
C9Perkz,9015,39.4,22378,354918,16872,419644,11789933
Joueur_du_Grenier,8404,52.5,125538,441508,15705,568812,11853849
TinaKitten,8784,45.2,54388,396549,63807,601167,6497237
